pathway,pathway_name,reactome_id,gene,hpa_main_location,mapped_compartment
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,AQP8,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,ATOX1,Nucleoplasm,nucleoplasm
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,ATP7A,Golgi apparatus,golgi
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,CAT,Vesicles,vesicles
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,CCS,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,CYBA,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,CYBB,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,CYCS,Mitochondria,mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,ERO1A,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX1,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX2,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX3,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX5,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX6,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX7,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GPX8,Plasma membrane; Cytosol,cytosol; plasma_mem
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GSR,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,GSTP1,Mitochondria; Cytosol,cytosol; mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NCF1,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NCF2,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NCF4,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NOX4,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NOX5,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,NUDT2,Nucleoplasm,nucleoplasm
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,P4HB,Endoplasmic reticulum,er
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,PRDX1,Mitochondria,mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,PRDX2,Cytosol,cytosol
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,PRDX3,Vesicles; Mitochondria,mitochondria; vesicles
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,PRDX5,Mitochondria,mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,PRDX6,Plasma membrane; Cytosol,cytosol; plasma_mem
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,SOD1,Nucleoplasm,nucleoplasm
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,SOD2,Mitochondria,mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,SOD3,,
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,TXN,Nucleoplasm; Cytosol,cytosol; nucleoplasm
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,TXN2,Mitochondria,mitochondria
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,TXNRD1,Nucleoplasm,nucleoplasm
oxid,Detoxification of reactive oxygen species,R-HSA-3299685,TXNRD2,Mitochondria; Cytosol,cytosol; mitochondria
apop,Intrinsic pathway for apoptosis,R-HSA-109606,AKT1,Nucleoplasm; Microtubules; Principal piece; End piece,microtubules; nucleoplasm; other
apop,Intrinsic pathway for apoptosis,R-HSA-109606,AKT2,Vesicles; Cytosol,cytosol; vesicles
apop,Intrinsic pathway for apoptosis,R-HSA-109606,AKT3,Nucleoplasm; Golgi apparatus; Cytosol,cytosol; golgi; nucleoplasm
apop,Intrinsic pathway for apoptosis,R-HSA-109606,APAF1,Nucleoplasm; Cytosol,cytosol; nucleoplasm
apop,Intrinsic pathway for apoptosis,R-HSA-109606,APIP,Nucleoplasm,nucleoplasm
apop,Intrinsic pathway for apoptosis,R-HSA-109606,AVEN,Plasma membrane; Actin filaments,actin; plasma_mem
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BAD,Mitochondria,mitochondria
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BAK1,,
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BAX,Vesicles,vesicles
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BBC3,Cytosol,cytosol
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BCL2,Mitochondria,mitochondria
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BCL2L1,Mitochondria,mitochondria
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BCL2L11,Mitochondria,mitochondria
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BID,Cytosol,cytosol
apop,Intrinsic pathway for apoptosis,R-HSA-109606,BMF,Cytosol,cytosol
